"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20150501.csv"
"C","Report for: 05/01/2015 - 05/01/2015"
"C","Report generated: 05/02/2015 16:33:48 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/01/2015","01",10119.17
"D","05/01/2015","02",9682.61
"D","05/01/2015","03",9715.52
"D","05/01/2015","04",9704.34
"D","05/01/2015","05",9729.16
"D","05/01/2015","06",10624.04
"D","05/01/2015","07",12191.38
"D","05/01/2015","08",13363.54
"D","05/01/2015","09",13692.85
"D","05/01/2015","10",13754.58
"D","05/01/2015","11",13758.47
"D","05/01/2015","12",13657.41
"D","05/01/2015","13",13523.72
"D","05/01/2015","14",13456.49
"D","05/01/2015","15",13297.94
"D","05/01/2015","16",13124.92
"D","05/01/2015","17",13343.6
"D","05/01/2015","18",13231.1
"D","05/01/2015","19",13136.15
"D","05/01/2015","20",13318.35
"D","05/01/2015","21",13737.52
"D","05/01/2015","22",13172.31
"D","05/01/2015","23",12126.34
"D","05/01/2015","24",11023.13
"T","24 lines"
